ref_a,ref_b
ref-m-288,ref-mek-20903
ref-m-288,ref-mek-20903
ref-m-488,ref-y-14545
ref-m-720,ref-y-18329
ref-m-720,ref-sifre-d-47618
ref-m-720,ref-sifre-d-48182
ref-m-917,ref-y-19117
ref-m-1060,ref-y-20761
ref-m-1261,ref-t-2476
ref-m-1261,ref-y-28191
ref-m-1261,ref-sifre-d-165985
ref-m-1261,ref-mek-65487
ref-m-1261,ref-mek-65487
ref-m-1797,ref-y-36285
ref-m-1996,ref-y-36552
ref-m-2420,ref-y-50821
ref-m-2770,ref-y-54503
ref-m-3601,ref-y-75786
ref-m-4129,ref-y-93798
ref-m-4468,ref-y-101624
ref-m-4646,ref-y-104356
ref-m-5334,ref-y-121715
ref-m-5492,ref-y-124614
ref-m-5654,ref-y-126131
ref-m-5654,ref-y-126131
ref-m-6563,ref-y-137930
ref-m-6771,ref-y-139868
ref-m-6771,ref-b-229105
ref-m-6980,ref-y-142240
ref-m-7121,ref-y-142784
ref-m-9951,ref-y-182180
ref-m-10800,ref-t-29415
ref-m-11633,ref-b-803230
ref-m-11633,ref-b-4523915
ref-m-11633,ref-b-4526835
ref-m-12593,ref-t-36499
ref-m-12593,ref-b-7358997
ref-m-12593,ref-sifra-487743
ref-m-15310,ref-t-37461
ref-m-15665,ref-sifra-489857
ref-m-18314,ref-sifre-d-267895
ref-m-19523,ref-t-42534
ref-m-19789,ref-sifre-d-266726
ref-m-21502,ref-sifra-489191
ref-m-22198,ref-sifra-488807
ref-m-22198,ref-sifra-488807
ref-m-23391,ref-b-1030708
ref-m-24310,ref-y-293857
ref-m-25871,ref-t-55793
ref-m-29277,ref-t-70943
ref-m-29277,ref-t-70943
ref-m-29531,ref-t-70603
ref-m-29531,ref-t-70603
ref-m-29531,ref-y-337948
ref-m-30883,ref-b-4549878
ref-m-32186,ref-t-77337
ref-m-32523,ref-b-6719430
ref-m-33059,ref-t-82454
ref-m-33059,ref-t-83391
ref-m-33118,ref-t-82778
ref-m-33118,ref-t-82454
ref-m-33759,ref-t-83391
ref-m-33759,ref-t-83391
ref-m-33901,ref-t-82454
ref-m-33901,ref-t-82454
ref-m-33988,ref-t-82792
ref-m-39598,ref-b-642444
ref-m-40868,ref-b-937175
ref-m-40868,ref-b-1227106
ref-m-40868,ref-b-937175
ref-m-41501,ref-t-318827
ref-m-42482,ref-b-5719468
ref-m-43608,ref-t-171102
ref-m-45066,ref-t-173715
ref-m-45066,ref-t-173715
ref-m-45670,ref-t-174111
ref-m-51091,ref-b-6443745
ref-m-51091,ref-b-2268253
ref-m-51091,ref-b-2645396
ref-m-51091,ref-y-453007
ref-m-51091,ref-y-452103
ref-m-51878,ref-b-2644495
ref-m-52824,ref-b-2271489
ref-m-52824,ref-b-3116841
ref-m-53083,ref-t-138118
ref-m-53354,ref-t-135821
ref-m-54151,ref-b-2648927
ref-m-57224,ref-sifra-616792
ref-m-57224,ref-sifra-616792
ref-m-60031,ref-b-3719540
ref-m-61532,ref-t-149502
ref-m-63126,ref-y-713692
ref-m-63437,ref-y-505003
ref-m-63437,ref-sifra-615004
ref-m-65384,ref-b-1439554
ref-m-65384,ref-sifra-621377
ref-m-66896,ref-b-4181110
ref-m-66896,ref-sifre-d-152594
ref-m-67568,ref-b-5674839
ref-m-68699,ref-sifre-d-289376
ref-m-69372,ref-t-98213
ref-m-69542,ref-y-544510
ref-m-71441,ref-t-101735
ref-m-75932,ref-b-7995957
ref-m-76284,ref-t-111367
